threshold_A,threshold_B,accuracy,balanced_accuracy,valid_physical_pair,n,tp,tn,fp,fn
0.145,0.015,0.9056,0.941,True,2500,1764.0,500.0,0.0,236.0
0.145,0.025,0.9084,0.93975,True,2500,1775.0,496.0,4.0,225.0
0.145,0.035,0.9112,0.9265,True,2500,1802.0,476.0,24.0,198.0
0.145,0.045,0.9032,0.8734999999999999,True,2500,1846.0,412.0,88.0,154.0
0.145,0.055,0.878,0.7677499999999999,True,2500,1903.0,292.0,208.0,97.0
0.145,0.065,0.8348,0.623,True,2500,1952.0,135.0,365.0,48.0
0.145,0.075,0.806,0.53,True,2500,1980.0,35.0,465.0,20.0
0.145,0.085,0.798,0.50025,True,2500,1993.0,2.0,498.0,7.0
0.155,-0.125,0.79,0.86875,True,2500,1475.0,500.0,0.0,525.0
0.155,-0.115,0.7988,0.87425,True,2500,1497.0,500.0,0.0,503.0
0.155,-0.105,0.8088,0.8805000000000001,True,2500,1522.0,500.0,0.0,478.0
0.155,-0.095,0.8228,0.88925,True,2500,1557.0,500.0,0.0,443.0
0.155,-0.085,0.832,0.895,True,2500,1580.0,500.0,0.0,420.0
0.155,-0.075,0.838,0.8987499999999999,True,2500,1595.0,500.0,0.0,405.0
0.155,-0.065,0.8492,0.90575,True,2500,1623.0,500.0,0.0,377.0
0.155,-0.055,0.856,0.91,True,2500,1640.0,500.0,0.0,360.0
0.155,-0.045,0.8616,0.9135,True,2500,1654.0,500.0,0.0,346.0
0.155,-0.035,0.8656,0.916,True,2500,1664.0,500.0,0.0,336.0
0.155,-0.025,0.87,0.91875,True,2500,1675.0,500.0,0.0,325.0
0.155,-0.015,0.8768,0.923,True,2500,1692.0,500.0,0.0,308.0
0.155,-0.005,0.8792,0.9245,True,2500,1698.0,500.0,0.0,302.0
0.155,0.005,0.8832,0.927,True,2500,1708.0,500.0,0.0,292.0
0.155,0.015,0.8892,0.93075,True,2500,1723.0,500.0,0.0,277.0
0.155,0.025,0.8944,0.931,True,2500,1740.0,496.0,4.0,260.0
0.155,0.035,0.8992,0.919,True,2500,1772.0,476.0,24.0,228.0
0.155,0.045,0.8944,0.868,True,2500,1824.0,412.0,88.0,176.0
0.155,0.055,0.8732,0.76475,True,2500,1891.0,292.0,208.0,109.0
0.155,0.065,0.832,0.6212500000000001,True,2500,1945.0,135.0,365.0,55.0
0.155,0.075,0.8052,0.5295,True,2500,1978.0,35.0,465.0,22.0
0.155,0.085,0.7976,0.5,True,2500,1992.0,2.0,498.0,8.0
0.165,-0.125,0.7612,0.85075,True,2500,1403.0,500.0,0.0,597.0
0.165,-0.115,0.7708,0.85675,True,2500,1427.0,500.0,0.0,573.0
0.165,-0.105,0.7824,0.864,True,2500,1456.0,500.0,0.0,544.0
0.165,-0.095,0.7988,0.87425,True,2500,1497.0,500.0,0.0,503.0
0.165,-0.085,0.808,0.88,True,2500,1520.0,500.0,0.0,480.0
0.165,-0.075,0.8152,0.8845000000000001,True,2500,1538.0,500.0,0.0,462.0
0.165,-0.065,0.8268,0.89175,True,2500,1567.0,500.0,0.0,433.0
0.165,-0.055,0.8348,0.8967499999999999,True,2500,1587.0,500.0,0.0,413.0
0.165,-0.045,0.8404,0.90025,True,2500,1601.0,500.0,0.0,399.0
0.165,-0.035,0.8456,0.9035,True,2500,1614.0,500.0,0.0,386.0
0.165,-0.025,0.8504,0.9065,True,2500,1626.0,500.0,0.0,374.0
0.165,-0.015,0.8576,0.911,True,2500,1644.0,500.0,0.0,356.0
0.165,-0.005,0.86,0.9125,True,2500,1650.0,500.0,0.0,350.0
0.165,0.005,0.8644,0.91525,True,2500,1661.0,500.0,0.0,339.0
0.165,0.015,0.8708,0.91925,True,2500,1677.0,500.0,0.0,323.0
0.165,0.025,0.8788,0.92125,True,2500,1701.0,496.0,4.0,299.0
0.165,0.035,0.8864,0.911,True,2500,1740.0,476.0,24.0,260.0
0.165,0.045,0.8852,0.86225,True,2500,1801.0,412.0,88.0,199.0
0.165,0.055,0.8672,0.7609999999999999,True,2500,1876.0,292.0,208.0,124.0
0.165,0.065,0.8292,0.6194999999999999,True,2500,1938.0,135.0,365.0,62.0
0.165,0.075,0.8036,0.5285,True,2500,1974.0,35.0,465.0,26.0
0.165,0.085,0.7968,0.4995,True,2500,1990.0,2.0,498.0,10.0
0.175,-0.125,0.7364,0.83525,True,2500,1341.0,500.0,0.0,659.0
0.175,-0.115,0.7464,0.8415,True,2500,1366.0,500.0,0.0,634.0
0.175,-0.105,0.7592,0.8494999999999999,True,2500,1398.0,500.0,0.0,602.0
