threshold_A,threshold_B,valid_physical_pair,n,predicted_leakage,predicted_no_leakage,no_leakage_between_A_B,accuracy,precision,recall,f1,tn,fp,fn,tp,balanced_accuracy
0.145,-0.035,True,2500,1713.0,787.0,787.0,0.8852,1.0,0.8565,0.9227040129275519,500.0,0.0,287.0,1713.0,0.92825
0.135,-0.075,True,2500,1712.0,788.0,788.0,0.8848,1.0,0.856,0.9224137931034483,500.0,0.0,288.0,1712.0,0.9279999999999999
0.155,0.005,True,2500,1708.0,792.0,792.0,0.8832,1.0,0.854,0.9212513484358144,500.0,0.0,292.0,1708.0,0.927
0.145,-0.045,True,2500,1703.0,797.0,797.0,0.8812,1.0,0.8515,0.9197947610045908,500.0,0.0,297.0,1703.0,0.9257500000000001
0.125,-0.115,True,2500,1706.0,794.0,794.0,0.8808,0.9988276670574443,0.852,0.91958985429034,498.0,2.0,296.0,1704.0,0.9239999999999999
0.135,-0.085,True,2500,1702.0,798.0,798.0,0.8808,1.0,0.851,0.9195029713668287,500.0,0.0,298.0,1702.0,0.9255
0.155,-0.005,True,2500,1698.0,802.0,802.0,0.8792,1.0,0.849,0.918334234721471,500.0,0.0,302.0,1698.0,0.9245
0.165,0.025,True,2500,1705.0,795.0,795.0,0.8788,0.9976539589442815,0.8505,0.9182186234817814,496.0,4.0,299.0,1701.0,0.92125
0.145,0.055,True,2500,2111.0,389.0,389.0,0.878,0.901468498342018,0.9515,0.9258088056433958,292.0,208.0,97.0,1903.0,0.7677499999999999
0.175,0.045,True,2500,1869.0,631.0,631.0,0.8772,0.9529159978598181,0.8905,0.9206513310933057,412.0,88.0,219.0,1781.0,0.85725
0.155,-0.015,True,2500,1692.0,808.0,808.0,0.8768,1.0,0.846,0.9165763813651137,500.0,0.0,308.0,1692.0,0.923
0.145,-0.055,True,2500,1691.0,809.0,809.0,0.8764,1.0,0.8455,0.9162828501761041,500.0,0.0,309.0,1691.0,0.92275
0.125,-0.125,True,2500,1694.0,806.0,806.0,0.876,0.9988193624557261,0.846,0.916080129940444,498.0,2.0,308.0,1692.0,0.921
0.175,0.035,True,2500,1737.0,763.0,763.0,0.8756,0.9861830742659758,0.8565,0.9167781643029168,476.0,24.0,287.0,1713.0,0.90425
0.135,-0.095,True,2500,1685.0,815.0,815.0,0.874,1.0,0.8425,0.9145183175033922,500.0,0.0,315.0,1685.0,0.92125
0.155,0.055,True,2500,2099.0,401.0,401.0,0.8732,0.9009051929490234,0.9455,0.9226640644059527,292.0,208.0,109.0,1891.0,0.76475
0.165,0.015,True,2500,1677.0,823.0,823.0,0.8708,1.0,0.8385,0.9121566494424803,500.0,0.0,323.0,1677.0,0.91925
0.145,-0.065,True,2500,1675.0,825.0,825.0,0.87,1.0,0.8375,0.9115646258503401,500.0,0.0,325.0,1675.0,0.91875
0.155,-0.025,True,2500,1675.0,825.0,825.0,0.87,1.0,0.8375,0.9115646258503401,500.0,0.0,325.0,1675.0,0.91875
0.075,0.055,True,2500,2312.0,188.0,188.0,0.8696,0.8620242214532872,0.9965,0.9243970315398886,181.0,319.0,7.0,1993.0,0.67925
0.185,0.045,True,2500,1847.0,653.0,653.0,0.8684,0.9523551705468327,0.8795,0.9144788146607746,412.0,88.0,241.0,1759.0,0.85175
0.165,0.055,True,2500,2084.0,416.0,416.0,0.8672,0.9001919385796545,0.938,0.9187071498530852,292.0,208.0,124.0,1876.0,0.7609999999999999
0.155,-0.035,True,2500,1664.0,836.0,836.0,0.8656,1.0,0.832,0.9082969432314411,500.0,0.0,336.0,1664.0,0.9159999999999999
0.175,0.025,True,2500,1671.0,829.0,829.0,0.8652,0.997606223818073,0.8335,0.9081994007082538,496.0,4.0,333.0,1667.0,0.91275
0.175,0.055,True,2500,2077.0,423.0,423.0,0.8644,0.8998555609051516,0.9345,0.9168506254598969,292.0,208.0,131.0,1869.0,0.75925
0.185,0.035,True,2500,1709.0,791.0,791.0,0.8644,0.9859566998244588,0.8425,0.9086007009975734,476.0,24.0,315.0,1685.0,0.89725
0.165,0.005,True,2500,1661.0,839.0,839.0,0.8644,1.0,0.8305,0.9074023490849494,500.0,0.0,339.0,1661.0,0.91525
0.065,0.025,True,2500,2333.0,167.0,167.0,0.862,0.8546935276468067,0.997,0.9203784906531272,161.0,339.0,6.0,1994.0,0.6595
0.065,0.015,True,2500,2331.0,169.0,169.0,0.862,0.854997854997855,0.9965,0.9203417224659433,162.0,338.0,7.0,1993.0,0.66025
0.195,0.045,True,2500,1831.0,669.0,669.0,0.862,0.9519388312397596,0.8715,0.9099451840250588,412.0,88.0,257.0,1743.0,0.84775
0.065,-0.005,True,2500,2330.0,170.0,170.0,0.8616,0.8549356223175966,0.996,0.9200923787528869,162.0,338.0,8.0,1992.0,0.66
0.065,0.005,True,2500,2330.0,170.0,170.0,0.8616,0.8549356223175966,0.996,0.9200923787528869,162.0,338.0,8.0,1992.0,0.66
0.135,-0.105,True,2500,1654.0,846.0,846.0,0.8616,1.0,0.827,0.9053092501368363,500.0,0.0,346.0,1654.0,0.9135
0.155,-0.045,True,2500,1654.0,846.0,846.0,0.8616,1.0,0.827,0.9053092501368363,500.0,0.0,346.0,1654.0,0.9135
0.065,-0.015,True,2500,2329.0,171.0,171.0,0.8612,0.8548733361957922,0.9955,0.9198429198429198,162.0,338.0,9.0,1991.0,0.6597500000000001
0.065,0.035,True,2500,2340.0,160.0,160.0,0.86,0.8525641025641025,0.9975,0.9193548387096774,155.0,345.0,5.0,1995.0,0.65375
0.145,-0.075,True,2500,1650.0,850.0,850.0,0.86,1.0,0.825,0.9041095890410958,500.0,0.0,350.0,1650.0,0.9125
0.165,-0.005,True,2500,1650.0,850.0,850.0,0.86,1.0,0.825,0.9041095890410958,500.0,0.0,350.0,1650.0,0.9125
0.065,-0.025,True,2500,2323.0,177.0,177.0,0.8588,0.8544984933275936,0.9925,0.9183437427712238,162.0,338.0,15.0,1985.0,0.65825
0.065,-0.035,True,2500,2322.0,178.0,178.0,0.8584,0.8544358311800172,0.992,0.918093475242943,162.0,338.0,16.0,1984.0,0.658
